post_yn,cloud_software_required,database_software_required,statistic_software_required,programming_language_required,linkedin_url
yes,Pig,,R,Ruby,https://www.linkedin.com/jobs2/view/12161056?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,mySQL,R,,https://www.linkedin.com/jobs2/view/12354093?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Java/Javascript,https://www.linkedin.com/jobs2/view/22238079?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,SPSS,Python,https://www.linkedin.com/jobs2/view/18778319?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,R,Python,https://www.linkedin.com/jobs2/view/18722560?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SAS,,https://www.linkedin.com/jobs2/view/25828428?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/25850026?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/25803517?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/12565338?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,,,https://www.linkedin.com/jobs2/view/12220926?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,,Java/Javascript,https://www.linkedin.com/jobs2/view/14916340?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,SAS,Java/Javascript,https://www.linkedin.com/jobs2/view/12562211?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/16635967?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Ruby,https://www.linkedin.com/jobs2/view/14964354?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,SAS,Python,https://www.linkedin.com/jobs2/view/16634203?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,,https://www.linkedin.com/jobs2/view/25837554?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,Python,https://www.linkedin.com/jobs2/view/11755156?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/13772582?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,Java/Javascript,https://www.linkedin.com/jobs2/view/18759677?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,R,Python,https://www.linkedin.com/jobs2/view/12267267?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,SPSS,Python,https://www.linkedin.com/jobs2/view/11999426?trk=job_view_browse_map&trk=job_view_browse_map
yes,,SQL,,Ruby,https://www.linkedin.com/jobs2/view/12513029?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,R,,https://www.linkedin.com/jobs2/view/36020097?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hive,SQL,R,Python,https://www.linkedin.com/jobs2/view/12101791?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/25867795?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/18743940?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/14982468?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,R,,https://www.linkedin.com/jobs2/view/12303775?trk=job_view_browse_map&trk=job_view_browse_map
yes,Pig,SQL,R,Python,https://www.linkedin.com/jobs2/view/24835086?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,,SAS,,https://www.linkedin.com/jobs2/view/13797987?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,,,R,Python,https://www.linkedin.com/jobs2/view/14966561?trk=job_view_browse_map&trk=job_view_browse_map
yes,Hadoop,SQL,SAS,Python,https://www.linkedin.com/jobs2/view/18734826?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,,R,Python,https://www.linkedin.com/jobs2/view/18775955?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,,,https://www.linkedin.com/jobs2/view/21874258?trk=job_view_browse_map&trk=job_view_browse_map
yes,MapReduce/Elastic MapReduce,SQL,R,,https://www.linkedin.com/jobs2/view/12493647?trk=job_view_browse_map&trk=job_view_browse_map
yes,,,R,,https://www.linkedin.com/jobs2/view/25886342?trk=job_view_browse_map_backfill&trk=job_view_browse_map_backfill
yes,MapReduce/Elastic MapReduce,,R,Python,https://www.linkedin.com/jobs2/view/25855129?trk=job_view_browse_map&trk=job_view_browse_map
